Designator,Footprint,Quantity,Value,LCSC Part #
"C1_6, C1_5, C1_4, C1_3, C1_2, C1, C10_6, C10_5, C10_4, C10_3, C10_2, C10, C16_6, C16_5, C16_4, C16_3, C16_2, C16, C17_6, C17_5, C17_4, C17_3, C17_2, C17, C2_6, C2_5, C2_4, C2_3, C2_2, C2, C4_6, C4_5, C4_4, C4_3, C4_2, C4, C5_6, C5_5, C5_4, C5_3, C5_2, C5, C6_6, C6_5, C6_4, C6_3, C6_2, C6, C7_6, C7_5, C7_4, C7_3, C7_2, C7, C8_6, C8_5, C8_4, C8_3, C8_2, C8, C9_6, C9_5, C9_4, C9_3, C9_2, C9",0402,66,0.1uF,
"C11_6, C11_5, C11_4, C11_3, C11_2, C11, C12_6, C12_5, C12_4, C12_3, C12_2, C12",0402,12,2.2uF,
"C13_6, C13_5, C13_4, C13_3, C13_2, C13, C19_6, C19_5, C19_4, C19_3, C19_2, C19",0402,12,10uF,
"C14_6, C14_5, C14_4, C14_3, C14_2, C14, C15_6, C15_5, C15_4, C15_3, C15_2, C15",0402,12,22pF,
"C3_6, C3_5, C3_4, C3_3, C3_2, C3",0402,6,1uF,
"D1_6, D1_5, D1_4, D1_3, D1_2, D1",0402,6,LED,
"D3_6, D3_5, D3_4, D3_3, D3_2, D3",D_SOD-123,6,1N4002W,
"F1_6, F1_5, F1_4, F1_3, F1_2, F1",0805,6,0805L050WR,
"FB1_6, FB1_5, FB1_4, FB1_3, FB1_2, FB1",0402,6,FB,
"J1_6, J1_5, J1_4, J1_3, J1_2, J1",PinHeader_1x20_P2.54mm_Vertical,6,LEFT_PINS,
"J2_6, J2_5, J2_4, J2_3, J2_2, J2",PinHeader_1x20_P2.54mm_Vertical,6,RIGHT_PINS,
"J3_6, J3_5, J3_4, J3_3, J3_2, J3",PinHeader_1x03_P2.54mm_Vertical,6,BOTTOM_PINS,
"J4_6, J4_5, J4_4, J4_3, J4_2, J4",HRO-TYPE-C-31-M-12,6,USB_C_Receptacle_USB2.0,
