Designator,Mid X,Mid Y,Rotation,Layer
C1_6,14.39,-84.52,90.0,top
C1_5,37.89,-26.52,90.0,top
C1_4,61.39,-26.52,90.0,top
C1_3,61.39,-84.52,90.0,top
C1_2,37.89,-84.52,90.0,top
C1,14.39,-26.52,90.0,top
C10_6,21.47,-85.97,90.0,top
C10_5,44.97,-27.97,90.0,top
C10_4,44.97,-85.97,90.0,top
C10_3,68.47,-85.97,90.0,top
C10_2,21.47,-27.97,90.0,top
C10,68.47,-27.97,90.0,top
C11_6,65.53,-27.85,90.0,top
C11_5,18.53,-27.85,90.0,top
C11_4,18.53,-85.85,90.0,top
C11_3,42.03,-85.85,90.0,top
C11_2,65.53,-85.85,90.0,top
C11,42.03,-27.85,90.0,top
C12_6,19.58,-86.3,90.0,top
C12_5,66.58,-86.3,90.0,top
C12_4,43.08,-28.3,90.0,top
C12_3,43.08,-86.3,90.0,top
C12_2,66.58,-28.3,90.0,top
C12,19.58,-28.3,90.0,top
C13_6,8.95,-92.42,180.0,top
C13_5,32.45,-92.42,180.0,top
C13_4,55.95,-92.42,180.0,top
C13_3,32.45,-34.42,180.0,top
C13_2,55.95,-34.42,180.0,top
C13,8.95,-34.42,180.0,top
C14_6,38.87,-42.31,270.0,top
C14_5,15.37,-42.31,270.0,top
C14_4,38.87,-100.31,270.0,top
C14_3,15.37,-100.31,270.0,top
C14_2,62.37,-100.31,270.0,top
C14,62.37,-42.31,270.0,top
C15_6,11.91,-98.83,0.0,top
C15_5,11.91,-40.83,0.0,top
C15_4,35.41,-98.83,0.0,top
C15_3,58.91,-98.83,0.0,top
C15_2,35.41,-40.83,0.0,top
C15,58.91,-40.83,0.0,top
C16_6,12.28,-24.26,180.0,top
C16_5,35.78,-82.26,180.0,top
C16_4,59.28,-82.26,180.0,top
C16_3,12.28,-82.26,180.0,top
C16_2,59.28,-24.26,180.0,top
C16,35.78,-24.26,180.0,top
C17_6,8.94,-65.4,90.0,top
C17_5,32.44,-65.4,90.0,top
C17_4,32.44,-7.4,90.0,top
C17_3,55.94,-7.4,90.0,top
C17_2,8.94,-7.4,90.0,top
